business_name,phone,email,website,rating,address,problems_found,message_sent,status,created_at
Institution Abadila Najah,212528229830,,,0,"CCHG+VG2, Rue 448, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.295198+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.374860+00:00
Institution Aboulmajd,212528239095,,,4.7,"CC8X+G8M, Av. Ahmed Al Mansour Dahbi, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.466512+00:00
Ecole Paul Signac Privée,212528212020,,https://ecolemaroc.com/ecole-privee-paul-signac/,0,"80000, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.557681+00:00
L’Université Privée de la Santé et des Sciences d’Agadir UPSSA,212666548626,,http://upssa.ac.ma/,4,"Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.651619+00:00
School Maria Middle School High School,212528843436,,,0,"Lot 241،, Quartier illigh, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.740467+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T21:58:50.822599+00:00
Cned Agadir Centre Eureka,212528824651,,https://centre-eureka.net/,4.6,"Bam، أگادير 80000, Morocco",,,new,2026-06-27T21:58:50.901886+00:00
Institution Al Imam Al Kastalani Al Farha,212528229052,,https://www.iik.ma/,0,"Cité AL FARHA IHCHACH – AGADIR B.P.1271, Agadir 80070, Morocco",,,new,2026-06-27T21:58:50.990698+00:00
Groupe Scolaire Denis Diderot,212528211333,,https://www.gsd-diderot.com/,0,"Avenue Errachidia n° 2، Agadir 80000, Morocco",,,new,2026-06-27T21:58:51.072658+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T21:58:51.149688+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T21:58:51.226437+00:00
British Bright College,,,,5,"CC7H+RWH, Ave Abderrahim Bouabid, Agadir 80000, Morocco",,,new,2026-06-27T21:58:51.306163+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.274242+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.349459+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.424721+00:00
School Jocelyne Private,212528844612,,,4.2,"CCC7+X96, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.501384+00:00
Labib Academie Prive Agadir,212706059952,,https://labib.academy/,4.9,"Av Tetouan, 1er Etage, N24, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.606855+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.684147+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.763749+00:00
Hespa Haute Ecole De Sante Privee D'agadir,212528826262,,http://www.hespa.ma/,5,"Appt. A4, A5, A6 Imm HAMRIA, Av ALMOUKAWAMA, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.838513+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.914997+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.994468+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.071521+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.153170+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T21:59:06.232511+00:00
Groupe Scolaire Denis Diderot,212528211333,,https://www.gsd-diderot.com/,0,"Avenue Errachidia n° 2، Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.317317+00:00
Groupe Universitaire Prive des ecoles superieures ( GUES ),212661550930,,,3.1,"CCF5+FRJ, Ave du 29 Fevrier, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.389192+00:00
Cned Agadir Centre Eureka,212528824651,,https://centre-eureka.net/,4.6,"Bam، أگادير 80000, Morocco",,,new,2026-06-27T21:59:06.476855+00:00
Groupe scolaire MIRAI,212528225353,,,0,"CC7G+37H, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.561310+00:00
Institution Al Balagha,212528281763,,,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.638435+00:00
Amale Private School,212528322999,,https://ecole.center/wp/ecole-privee-amale/,0,"Hay El Houda F5، Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.715395+00:00
Institution Aboulmajd,212528239095,,,4.7,"CC8X+G8M, Av. Ahmed Al Mansour Dahbi, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.789645+00:00
Cned Agadir Centre Eureka,212528824651,,https://centre-eureka.net/,4.6,"Bam، أگادير 80000, Morocco",,,new,2026-06-27T21:59:23.422848+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.504633+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.579251+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.661232+00:00
Institution Al Balagha,212528281763,,,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.739053+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.819669+00:00
Abigate school,212528236293,,,0,"FA 37 Bloc 19, Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.914624+00:00
Soutien Scolaire Agadir Sos Réussite Scolaire,212607565743,,http://sosreussitescolaire.com/,5,"24 rue 441, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.007556+00:00
Smart School,212528231611,,https://m.facebook.com/SmartSchoolGS/,0,"École, Agadir 80080, Morocco",,,new,2026-06-27T21:59:24.095356+00:00
École privée MIMOSANA,212528222156,,,0,"CF24+Q46, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.176997+00:00
Center Tutoring Al Batwar,212660984915,,https://www.soutien-scolaire-agadir.ma/,5,"16 Rue de Fes, Agadir 80020, Morocco",,,new,2026-06-27T21:59:24.268626+00:00
Groupe scolaire MIRAI,212528225353,,,0,"CC7G+37H, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.342786+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.419105+00:00
Ayour School Privee Agadir,212528226620,,,0,"25,Rue Alikhlas,Lot 381 Hay, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.519690+00:00
Mounib Private School,,,,0,"Ecole Privée Mounib, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.615346+00:00
Institution Anass Al Qods - مؤسسة أنس القدس الخصوصية,212528214192,,,0,"N°76 Bloc A2 Cité Al Qods Dakhla, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.709384+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.792307+00:00
مدرسة أمالي الخاصة,,,,0,"أنزا العليا،، F957+R2W, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.881777+00:00
Institution Al Inbiaat Private,212528227579,,http://www.inbiaat.com/,0,"Cité AlQods, Rue Isli, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.967653+00:00
École Intégrale,212614340315,,https://www.facebook.com/ecoleintegraleagadir/,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:59:25.050726+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T21:58:29.946418+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.020133+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.097863+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.180259+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.263042+00:00
Hespa Haute Ecole De Sante Privee D'agadir,212528826262,,http://www.hespa.ma/,5,"Appt. A4, A5, A6 Imm HAMRIA, Av ALMOUKAWAMA, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.348329+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.426798+00:00
School Jocelyne Private,212528844612,,,4.2,"CCC7+X96, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.504591+00:00
Groupe Scolaire Denis Diderot,212528211333,,https://www.gsd-diderot.com/,0,"Avenue Errachidia n° 2، Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.578969+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.667241+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.754326+00:00
Groupe Universitaire Prive des ecoles superieures ( GUES ),212661550930,,,3.1,"CCF5+FRJ, Ave du 29 Fevrier, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.833746+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T21:58:30.915124+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.994047+00:00
School Gauthier,212528211761,,http://www.ecolegauthier.com/,0,"Lot O42, Quartier Sonaba، Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.074731+00:00
Amale Private School,212528322999,,https://ecole.center/wp/ecole-privee-amale/,0,"Hay El Houda F5، Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.149978+00:00
Institution Al Balagha,212528281763,,,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.229325+00:00
School Rokaya,212652888579,,,0,"80030, Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.304546+00:00
Cned Agadir Centre Eureka,212528824651,,https://centre-eureka.net/,4.6,"Bam، أگادير 80000, Morocco",,,new,2026-06-27T21:58:31.381592+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.458303+00:00
El Kati Private,212774512611,,,5,"63 Av. Mohamed El Fassi, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.007330+00:00
Institution Abadila Najah,212528229830,,,0,"CCHG+VG2, Rue 448, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.295198+00:00
Institution Aboulmajd,212528239095,,,4.7,"CC8X+G8M, Av. Ahmed Al Mansour Dahbi, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.466512+00:00
Ecole Paul Signac Privée,212528212020,,https://ecolemaroc.com/ecole-privee-paul-signac/,0,"80000, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.557681+00:00
L’Université Privée de la Santé et des Sciences d’Agadir UPSSA,212666548626,,http://upssa.ac.ma/,4,"Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.651619+00:00
School Maria Middle School High School,212528843436,,,0,"Lot 241،, Quartier illigh, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.740467+00:00
Institution Al Imam Al Kastalani Al Farha,212528229052,,https://www.iik.ma/,0,"Cité AL FARHA IHCHACH – AGADIR B.P.1271, Agadir 80070, Morocco",,,new,2026-06-27T21:58:50.990698+00:00
British Bright College,,,,5,"CC7H+RWH, Ave Abderrahim Bouabid, Agadir 80000, Morocco",,,new,2026-06-27T21:58:51.306163+00:00
Labib Academie Prive Agadir,212706059952,,https://labib.academy/,4.9,"Av Tetouan, 1er Etage, N24, Agadir 80000, Morocco",,,new,2026-06-27T21:59:05.606855+00:00
Groupe scolaire MIRAI,212528225353,,,0,"CC7G+37H, Agadir 80000, Morocco",,,new,2026-06-27T21:59:06.561310+00:00
Abigate school,212528236293,,,0,"FA 37 Bloc 19, Agadir 80000, Morocco",,,new,2026-06-27T21:59:23.914624+00:00
Smart School,212528231611,,https://m.facebook.com/SmartSchoolGS/,0,"École, Agadir 80080, Morocco",,,new,2026-06-27T21:59:24.095356+00:00
École privée MIMOSANA,212528222156,,,0,"CF24+Q46, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.176997+00:00
Center Tutoring Al Batwar,212660984915,,https://www.soutien-scolaire-agadir.ma/,5,"16 Rue de Fes, Agadir 80020, Morocco",,,new,2026-06-27T21:59:24.268626+00:00
Ayour School Privee Agadir,212528226620,,,0,"25,Rue Alikhlas,Lot 381 Hay, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.519690+00:00
Mounib Private School,,,,0,"Ecole Privée Mounib, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.615346+00:00
Institution Anass Al Qods - مؤسسة أنس القدس الخصوصية,212528214192,,,0,"N°76 Bloc A2 Cité Al Qods Dakhla, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.709384+00:00
مدرسة أمالي الخاصة,,,,0,"أنزا العليا،، F957+R2W, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.881777+00:00
Institution Al Inbiaat Private,212528227579,,http://www.inbiaat.com/,0,"Cité AlQods, Rue Isli, Agadir 80000, Morocco",,,new,2026-06-27T21:59:24.967653+00:00
École Intégrale,212614340315,,https://www.facebook.com/ecoleintegraleagadir/,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:59:25.050726+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.163431+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.238497+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.314140+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.392789+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.480506+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.560429+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T22:00:03.638398+00:00
